# Potential (V)	unc_potential (V)	Current (mA)	unc_current (mA)
0.0222	0.0002	0.324	0.003
0.0776	0.0003	1.045	0.009
0.1122	0.0004	1.390	0.01
0.244	0.002	2.27	0.03
0.472	0.002	3.40	0.04
0.541	0.002	3.69	0.04
0.697	0.003	4.28	0.04
0.871	0.003	4.89	0.05
1.128	0.004	5.72	0.05
1.840	0.006	7.68	0.07
1.940	0.006	7.93	0.07
4.01	0.02	12.3	0.1	
6.00	0.03	15.8	0.1
8.01	0.03	18.8	0.2
10.24	0.04	21.8	0.3
12.07	0.04	24.1	0.3
14.27	0.05	26.6	0.3
16.01	0.05	28.5	0.3
17.98	0.05	30.6	0.3
18.45	0.06	31.1	0.3
19.86	0.06	32.5	0.3
21.0	0.2	33.6	0.4
22.1	0.2	34.6	0.4
22.9	0.2	35.4	0.4
24.0	0.2	36.4	0.4
25.1	0.2	37.3	0.4

