# temperature (C)	unc_temp (C)	resistance (kohm)	unc_resist (kohm)
79.5	0.5	6.68	0.02
76.0	0.5	6.93	0.02
75.0	0.5	7.54	0.03
73.0	0.5	8.01	0.03
67.0	0.5	9.95	0.03
65.0	0.5	10.33	0.03
62.0	0.5	11.76	0.03
61.5	0.5	12.36	0.03
56.5	0.5	14.45	0.04
54.5	0.5	15.33	0.04
51.0	0.5	17.23	0.04
48.0	0.5	19.51	0.05
46.0	0.5	21.7	0.1
44.0	0.5	24.3	0.1
41.0	0.5	26.1	0.2
36.5	0.5	31.4	0.2
35.5	0.5	33.7	0.2
34.0	0.5	35.5	0.2
32.0	0.5	38.0	0.2
31.0	0.5	40.3	0.2
28.5	0.5	44.3	0.2
26.5	0.5	47.7	0.2
25.0	0.5	51.6	0.2
23.0	0.5	56.3	0.2
21.0	0.5	61.3	0.2
19.5	0.5	66.9	0.2
17.5	0.5	73.8	0.2
13.0	0.5	92.9	0.3
10.0	0.5	104.7	0.3
5.0	0.5	126.2	0.4
