Chart Recorder Data File Thu, Mar 15, 2018 10:15 AM
CH1 (V)  	CH2 (V)  
-0.202998047	0.045898437
-0.515302734	0.044433594
-0.468457031	0.043457031
-0.530917969	0.041992187
-0.312304688	0.041503906
-0.374765625	0.040039062
-0.249843750	0.039062500
-0.140537109	0.038085937
-0.031230469	0.037109375
0.093691406	0.036621094
0.202998047	0.035644531
0.327919922	0.035156250
0.437226562	0.034179687
0.562148437	0.033691406
0.687070312	0.032714844
0.811992188	0.031738281
0.936914062	0.030761719
1.046220703	0.030273437
1.171142578	0.029296875
1.296064453	0.028808594
1.405371094	0.029296875
1.514677734	0.028320312
1.639599609	0.028320312
1.764521484	0.027832031
1.873828125	0.027832031
1.998750000	0.027343750
2.123671875	0.027343750
2.248593750	0.026367187
2.357900391	0.025878906
2.482822266	0.026367187
2.592128906	0.026367187
2.717050781	0.025390625
2.841972656	0.025390625
2.951279297	0.024902344
3.076201172	0.024902344
3.185507813	0.024414062
3.310429688	0.024902344
3.419736328	0.024414062
3.544658203	0.024414062
3.669580078	0.024414062
3.794501953	0.024414062
3.903808594	0.023925781
4.013115234	0.023437500
4.122421875	0.023925781
4.247343750	0.024414062
4.356650391	0.024414062
4.481572266	0.024902344
4.606494141	0.024414062
4.715800781	0.024902344
4.840722656	0.024902344
4.950029297	0.025878906
5.074951172	0.025390625
5.199873047	0.026367187
5.309179688	0.026855469
5.434101562	0.026855469
5.543408203	0.027343750
5.668330078	0.027832031
5.793251953	0.028808594
5.918173828	0.029296875
6.027480469	0.030273437
6.136787109	0.031250000
6.261708984	0.031738281
6.371015625	0.032226562
6.511552734	0.033203125
6.620859375	0.034179687
6.730166016	0.034667969
6.855087891	0.035156250
6.980009766	0.036132812
7.089316406	0.037109375
7.229853516	0.038085937
7.323544922	0.038085937
7.464082031	0.038574219
7.557773437	0.039062500
7.698310547	0.039550781
7.807617187	0.040527344
7.916923828	0.041015625
8.026230469	0.041503906
8.151152344	0.041503906
8.276074219	0.041992187
8.385380859	0.042480469
8.510302734	0.042968750
8.619609375	0.043457031
8.760146484	0.043457031
8.869453125	0.043945312
8.978759766	0.044433594
9.103681641	0.045410156
9.228603516	0.045410156
9.337910156	0.046386719
9.462832031	0.046875000
9.587753906	0.047363281
9.697060547	0.048339844
9.821982422	0.048828125
9.915673828	0.049804687
10.056210937	0.050781250
10.165517578	0.051757812
10.290439453	0.052246094
10.399746094	0.053710937
10.524667969	0.055175781
10.649589844	0.056640625
10.758896484	0.058105469
10.883818359	0.059570312
10.993125000	0.061035156
11.118046875	0.063476562
11.242968750	0.065429687
11.352275391	0.066406250
11.477197266	0.067871094
11.602119141	0.069335937
11.711425781	0.070800781
11.836347656	0.071777344
11.945654297	0.072753906
12.070576172	0.073730469
12.179882813	0.074218750
12.304804687	0.075195312
12.414111328	0.075683594
12.539033203	0.075683594
12.648339844	0.075683594
12.757646484	0.075683594
