# Chart Recorder Data File Thu, Mar 15, 2018 10:39 AM
# CH1 (V)  	CH2 (V)  
-0.437226562	0.026855469
-0.437226562	0.026855469
-0.437226562	0.025878906
-0.437226562	0.025390625
-0.437226562	0.024414062
-0.437226562	0.023925781
-0.437226562	0.023437500
-0.437226562	0.022949219
-0.437226562	0.022460937
-0.437226562	0.021972656
-0.437226562	0.021484375
-0.437226562	0.021484375
-0.437226562	0.020996094
-0.437226562	0.020507812
-0.327919922	0.020507812
-0.202998047	0.020019531
-0.093691406	0.020019531
0.015615234	0.019531250
0.140537109	0.019531250
0.249843750	0.019531250
0.390380859	0.019042969
0.499687500	0.019042969
0.624609375	0.019042969
0.733916016	0.019042969
0.858837891	0.018554687
0.968144531	0.019042969
1.093066406	0.018554687
1.202373047	0.018554687
1.327294922	0.018554687
1.452216797	0.018554687
1.577138672	0.018554687
1.686445313	0.018554687
1.811367187	0.018554687
1.920673828	0.018066406
2.045595703	0.018066406
2.170517578	0.018554687
2.279824219	0.018554687
2.404746094	0.018066406
2.514052734	0.018554687
2.638974609	0.018066406
2.748281250	0.018554687
2.873203125	0.018554687
2.982509766	0.018554687
3.107431641	0.018554687
3.232353516	0.018554687
3.341660156	0.018554687
3.466582031	0.019531250
3.591503906	0.019531250
3.700810547	0.019531250
3.825732422	0.020507812
3.935039063	0.020996094
4.044345703	0.021972656
4.169267578	0.022949219
4.278574219	0.023437500
4.403496094	0.024902344
4.512802734	0.026855469
4.637724609	0.027832031
4.747031250	0.029785156
4.887568359	0.030761719
4.981259766	0.032714844
5.121796875	0.032226562
5.231103516	0.033691406
5.356025391	0.035644531
5.465332031	0.038574219
5.590253906	0.041015625
5.715175781	0.043457031
5.824482422	0.046386719
5.933789062	0.049804687
6.058710937	0.052734375
6.168017578	0.055664062
6.308554688	0.060546875
6.417861328	0.064453125
6.542783203	0.068359375
6.652089844	0.072265625
6.777011719	0.077148437
6.901933594	0.081054687
7.026855469	0.084960937
7.136162109	0.089355469
7.261083984	0.093750000
7.370390625	0.097656250
7.495312500	0.101562500
7.604619141	0.105468750
7.729541016	0.108886719
7.854462891	0.112792969
7.963769531	0.116210937
8.057460938	0.119628906
8.182382813	0.122558594
8.307304688	0.125488281
8.432226563	0.127929687
8.541533203	0.130371094
8.650839844	0.132324219
8.791376953	0.134765625
8.900683594	0.136718750
9.025605469	0.138183594
9.134912109	0.139648437
9.259833984	0.141601562
9.369140625	0.143066406
9.494062500	0.145019531
9.618984375	0.146972656
9.728291016	0.148925781
9.853212891	0.150878906
9.962519531	0.153320312
10.071826172	0.155761719
10.196748047	0.158691406
10.337285156	0.161621094
10.430976562	0.165527344
10.555898437	0.168945312
10.680820312	0.173828125
10.805742187	0.178222656
10.915048828	0.183105469
11.024355469	0.189453125
11.149277344	0.195312500
11.274199219	0.201660156
11.383505859	0.207519531
11.508427734	0.214355469
11.617734375	0.220214844
11.758271484	0.225585937
11.867578125	0.229980469
11.961269531	0.233398437
12.070576172	0.236328125
12.195498047	0.237792969
12.320419922	0.238769531
12.445341797	0.239257812
12.554648437	0.239257812
12.679570312	0.238281250
12.788876953	0.237304687
12.913798828	0.235839844
13.023105469	0.234375000
13.148027344	0.231933594
13.272949219	0.230468750
13.382255859	0.227539062
13.507177734	0.225097656
13.632099609	0.222656250
13.757021484	0.220214844
13.866328125	0.217285156
13.991250000	0.215820312
14.100556641	0.213378906
14.209863281	0.211914062
14.334785156	0.209960937
14.444091797	0.208984375
14.569013672	0.208984375
14.693935547	0.209472656
14.818857422	0.209960937
14.928164063	0.211425781
15.053085938	0.212890625
15.162392578	0.215332031
15.287314453	0.218261719
15.396621094	0.222167969
15.521542969	0.226074219
15.646464844	0.231445312
15.755771484	0.236816406
15.880693359	0.242675781
15.974384766	0.249511719
16.099306641	0.256347656
16.224228516	0.263183594
16.333535156	0.270996094
16.474072266	0.278808594
16.567763672	0.286132812
16.692685547	0.293457031
16.801992187	0.299804687
16.942529297	0.305175781
17.051835937	0.309082031
17.176757812	0.312011719
17.286064453	0.314453125
17.410986328	0.315917969
