Polarization of Light 'theta' Data File Tue, Jan 23, 2018 9:58 AM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	-0.00873
0.00000	-0.01244
0.00000	-0.00793
0.00000	-0.00857
0.00000	-0.01405
0.00000	-0.00938
0.00000	-0.00889
0.00000	-0.00696
0.00000	-0.00970
0.00000	-0.01115
0.00000	-0.01485
0.00000	-0.00728
0.00000	-0.01050
0.00000	-0.00793
0.00000	-0.00760
0.00000	-0.00841
0.00000	-0.00777
0.00000	-0.01244
0.00000	-0.01453
0.00000	-0.00922
0.00000	-0.01373
0.00000	-0.01244
0.00000	-0.01340
0.00000	-0.01002
0.00000	-0.01131
0.00000	-0.01276
0.00000	-0.00825
0.00000	-0.01147
0.00000	-0.00777
0.00000	-0.00777
0.00000	-0.01018
0.00000	-0.01163
0.00000	-0.01050
0.00000	-0.00938
0.00000	-0.00712
0.00000	-0.00760
0.00000	-0.01502
0.00000	-0.01002
0.00000	-0.00986
0.00000	-0.00922
0.00000	-0.01212
0.00000	-0.01131
0.00000	-0.01018
0.00000	-0.01067
0.00000	-0.00793
0.00000	-0.01099
0.00000	-0.01002
0.00000	-0.00938
0.00000	-0.01002
0.00000	-0.00938
0.00000	-0.00922
0.00000	-0.00857
0.00000	-0.01195
0.00000	-0.00728
0.00000	-0.00777
0.00000	-0.00938
0.00000	-0.01212
0.00000	-0.00986
0.00000	-0.01034
0.00000	-0.01083
0.00000	-0.01002
0.00000	-0.00970
0.00000	-0.01324
0.00000	-0.00777
0.00000	-0.01067
0.00000	-0.01212
0.00000	-0.00825
0.00000	-0.01115
0.00000	-0.00905
0.00000	-0.00905
0.00000	-0.00905
0.00436	-0.01147
0.00436	-0.00793
0.00436	-0.01421
0.00436	-0.00922
0.00436	-0.01018
0.00436	-0.01405
0.00436	-0.00777
0.00436	-0.00712
0.00436	-0.01373
0.00436	-0.00841
0.00436	-0.01034
0.00436	-0.01405
0.00436	-0.00841
0.00436	-0.00760
0.01745	-0.01357
0.02618	-0.00793
0.02618	-0.00760
0.02618	-0.00664
0.02618	-0.00470
0.02618	-0.00986
0.02618	-0.00680
0.02618	-0.00696
0.02618	-0.00615
0.02618	-0.00664
0.02618	-0.01195
0.02618	-0.01195
0.02618	-0.00680
0.02618	-0.00873
0.02618	-0.00873
0.02618	-0.00599
0.02618	-0.01002
0.02618	-0.01212
0.02618	-0.00632
0.02618	-0.00905
0.02618	-0.00696
0.02618	-0.00680
0.03927	-0.00760
0.04363	-0.01018
0.04363	-0.00648
0.04363	-0.00132
0.04363	-0.00551
0.04363	-0.00454
0.04363	-0.00519
0.04363	-0.00261
0.04363	-0.00583
0.04363	-0.00535
0.04363	-0.00293
0.04363	-0.00470
0.04363	-0.00487
0.04363	-0.00406
0.04363	-0.00325
0.04800	-0.00583
0.05236	-0.00148
0.05672	0.00045
0.05672	-0.00374
0.05672	-0.00132
0.05672	-0.00132
0.05672	-0.00567
0.05672	-0.00213
0.05672	-0.00084
0.05672	-0.00245
0.05672	0.00013
0.05672	-0.00084
0.05672	-0.00245
0.05672	0.00077
0.05672	0.00158
0.05672	0.00077
0.05672	-0.00309
0.06109	0.00416
0.06545	0.00271
0.06545	0.00335
0.06545	0.00255
0.06545	0.00593
0.06545	0.00206
0.06545	0.00351
0.06545	0.00625
0.06545	0.00174
0.06545	0.00158
0.06545	0.00480
0.06545	0.00061
0.06545	0.00110
0.06545	0.00335
0.06545	0.00255
0.06545	0.00287
0.06545	0.00222
0.06545	0.00077
0.07418	0.00770
0.07418	0.00867
0.07418	0.00980
0.07418	0.01028
0.07418	0.00754
0.07418	0.00883
0.07418	0.00528
0.07418	0.00802
0.07418	0.00835
0.07418	0.00899
0.07418	0.00818
0.07418	0.00770
0.07418	0.00512
0.07418	0.00899
0.07854	0.00706
0.08290	0.01205
0.08290	0.01189
0.08290	0.01189
0.08290	0.01189
0.08290	0.01189
0.08290	0.00996
0.08290	0.01108
0.08290	0.00609
0.08290	0.01173
0.08290	0.00786
0.08290	0.01173
0.08290	0.01108
0.08290	0.00770
0.08290	0.00673
0.08290	0.01157
0.08290	0.00625
0.08290	0.00867
0.08290	0.01173
0.09163	0.01721
0.09163	0.01286
0.09163	0.01479
0.09163	0.01253
0.09163	0.01801
0.09163	0.01205
0.09163	0.01914
0.09163	0.01833
0.09163	0.01157
0.09163	0.01785
0.09163	0.01382
0.09163	0.01753
0.09163	0.01737
0.09163	0.01769
0.09163	0.01253
0.09163	0.01769
0.09163	0.01801
0.09599	0.01672
0.10472	0.02510
0.10472	0.02430
0.10472	0.02607
0.10472	0.01995
0.10472	0.02123
0.10472	0.02268
0.10472	0.02381
0.10472	0.02172
0.10472	0.02317
0.10472	0.02204
0.10472	0.01817
0.10472	0.02575
0.10472	0.02478
0.10908	0.02929
0.11345	0.02285
0.11345	0.02687
0.11345	0.02832
0.11345	0.02446
0.11345	0.03058
0.11345	0.03058
0.11345	0.02671
0.11345	0.02913
0.11345	0.02993
0.11345	0.02446
0.11345	0.02816
0.11345	0.03042
0.11345	0.02397
0.11345	0.02816
0.11781	0.03316
0.12217	0.03590
0.12217	0.03718
0.12217	0.03590
0.12217	0.03509
0.12217	0.03992
0.12217	0.03445
0.12217	0.03654
0.12217	0.03815
0.12217	0.03428
0.12217	0.03573
0.12217	0.03799
0.12217	0.03718
0.12217	0.03396
0.13090	0.03445
0.13526	0.04524
0.13526	0.04943
0.13526	0.04669
0.13526	0.04540
0.13526	0.04766
0.13526	0.04814
0.13526	0.04782
0.13526	0.04798
0.13526	0.04492
0.13526	0.04556
0.13526	0.04363
0.13526	0.04766
0.13526	0.04331
0.13526	0.04750
0.13526	0.04685
0.14399	0.04846
0.14399	0.05410
0.14399	0.05426
0.14399	0.05265
0.14399	0.04878
0.14399	0.05539
0.14399	0.05152
0.14399	0.05330
0.14399	0.04895
0.14399	0.05475
0.14399	0.05136
0.14399	0.05362
0.14399	0.04766
0.14399	0.05475
0.14399	0.05475
0.14835	0.05797
0.15708	0.06200
0.15708	0.06135
0.15708	0.05926
0.15708	0.06457
0.15708	0.06570
0.15708	0.06280
0.15708	0.06473
0.15708	0.06570
0.15708	0.06393
0.15708	0.06457
0.15708	0.06425
0.15708	0.06055
0.15708	0.06425
0.15708	0.06635
0.15708	0.06618
0.16581	0.07392
0.17017	0.07360
0.17017	0.07601
0.17017	0.06925
0.17017	0.07682
0.17017	0.07086
0.17017	0.07633
0.17017	0.07488
0.17017	0.07505
0.17017	0.07021
0.17017	0.06973
0.17017	0.07698
0.17017	0.07633
0.17017	0.07488
0.17017	0.07166
0.17017	0.07021
0.17017	0.07182
0.17017	0.08407
0.17017	0.07263
0.17017	0.07488
0.17017	0.07505
0.17890	0.08665
0.18326	0.08487
0.18326	0.08729
0.18326	0.08874
0.18326	0.08487
0.18326	0.08826
0.18326	0.08568
0.18326	0.08842
0.18326	0.08584
0.18326	0.08133
0.18326	0.08987
0.18326	0.08922
0.18326	0.08648
0.18326	0.08810
0.18326	0.09083
0.18326	0.08858
0.18326	0.08810
0.18326	0.08890
0.18326	0.08777
0.19199	0.09696
0.19199	0.09535
0.19199	0.09937
0.19199	0.09422
0.19199	0.09470
0.19199	0.10743
0.19199	0.09583
0.19199	0.09470
0.19199	0.09921
0.19199	0.09986
0.19199	0.10082
0.19199	0.09615
0.19199	0.10115
0.20071	0.10243
0.20508	0.11017
0.20508	0.11065
0.20508	0.11194
0.20508	0.11339
0.20508	0.11323
0.20508	0.11258
0.20508	0.11130
0.20508	0.11226
0.20508	0.11275
0.20508	0.11242
0.20508	0.11081
0.20508	0.11307
0.20508	0.11210
0.20508	0.11242
0.20508	0.10840
0.20508	0.11081
0.20508	0.11371
0.20508	0.11001
0.20508	0.11194
0.20508	0.10711
0.20508	0.11258
0.21380	0.12032
0.21380	0.12676
0.21380	0.12080
0.21380	0.12757
0.21380	0.12386
0.21380	0.12225
0.21380	0.12354
0.21380	0.12290
0.21380	0.12080
0.21380	0.12386
0.21380	0.11806
0.21380	0.12306
0.21380	0.12580
0.21380	0.12064
0.21380	0.12467
0.21380	0.12096
0.21380	0.12596
0.21380	0.12515
0.21380	0.12370
0.21380	0.12644
0.21380	0.11903
0.21380	0.12177
0.21817	0.12918
0.22253	0.13514
0.22689	0.13772
0.22689	0.13498
0.22689	0.13321
0.22689	0.13611
0.22689	0.13788
0.22689	0.13127
0.22689	0.13756
0.22689	0.13369
0.22689	0.13321
0.23126	0.13997
0.23126	0.13949
0.23126	0.14175
0.23126	0.14320
0.23126	0.13868
0.23126	0.14030
0.23126	0.13820
0.23126	0.14303
0.23126	0.13627
0.23126	0.14239
0.23126	0.14094
0.23126	0.14352
0.23126	0.13643
0.23126	0.14207
0.23126	0.14368
0.23126	0.14287
0.23126	0.13981
0.23126	0.14303
0.23126	0.14465
0.23126	0.14352
0.23126	0.14287
0.23126	0.13949
0.23126	0.14400
0.23126	0.14142
0.23126	0.14513
0.23126	0.14223
0.23126	0.14191
0.23126	0.14529
0.23126	0.13917
0.23126	0.14303
0.23126	0.14416
0.23126	0.14158
0.23126	0.13756
0.23126	0.14481
0.24435	0.15963
0.24871	0.15995
0.24871	0.15786
0.24871	0.15705
0.24871	0.15480
0.25307	0.16414
0.25307	0.16801
0.25307	0.16769
0.25307	0.16495
0.25307	0.16752
0.25307	0.16720
0.25307	0.16752
0.25307	0.16366
0.25307	0.16656
0.25307	0.16511
0.25307	0.16704
0.25307	0.16543
0.25307	0.16817
0.25307	0.16736
0.25307	0.16607
0.25307	0.16591
0.25307	0.16865
0.25307	0.16785
0.25307	0.16382
0.25307	0.16656
0.25307	0.16801
0.25307	0.16156
0.25307	0.16172
0.25307	0.16624
0.25307	0.16575
0.25307	0.16253
0.25307	0.16720
0.25307	0.16591
0.25744	0.16962
0.26180	0.17767
0.26180	0.18299
0.26180	0.18219
0.26180	0.17816
0.26180	0.18267
0.26180	0.18412
0.26180	0.18009
0.26180	0.18573
0.26180	0.17993
0.26180	0.18202
0.26180	0.18331
0.26180	0.18106
