# Polarization of Light 'Brewsters' Data File Thu, Jan 25, 2018 10:09 AM
# Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	1.06637
180.00000	1.06766
180.00000	1.07023
180.00000	1.06460
180.00000	1.06605
180.00000	1.06895
180.00000	1.06750
180.00000	1.06701
180.00000	1.07249
180.00000	1.06443
180.00000	1.07120
180.00000	1.06798
180.00000	1.06927
180.00000	1.06927
180.00000	1.06750
180.00000	1.06975
180.00000	1.06991
180.00000	1.06830
180.00000	1.06862
180.00000	1.07040
180.00000	1.07023
180.00000	1.07040
180.00000	1.06782
180.00000	1.06862
180.00000	1.06895
180.00000	1.07007
180.00000	1.06701
180.00000	1.06798
180.00000	1.06621
180.00000	1.06460
180.00000	1.06846
180.00000	1.06605
180.00000	1.06492
180.00000	1.06685
180.00000	1.06895
180.00000	1.06524
180.00000	1.06750
180.00000	1.06717
180.00000	1.06572
180.00000	1.06911
180.00000	1.07603
180.00000	1.09037
180.00000	1.09134
180.00000	1.08731
180.01667	1.09859
180.01667	1.09279
180.01667	1.09553
180.00000	1.08941
180.00000	1.09617
180.00000	1.08667
180.00000	1.08683
180.00000	1.07845
180.00000	1.03656
180.00000	0.95697
180.00000	0.86772
180.00000	0.97776
180.00000	1.05203
180.00000	1.04784
180.01667	1.05283
180.01667	1.05735
180.01667	1.05364
180.01667	1.05557
180.01667	1.05557
180.01667	1.06733
180.01667	1.06041
180.01667	1.05880
180.01667	1.05880
180.01667	1.06282
180.00000	1.05831
180.00000	1.05783
180.00000	1.06363
180.00000	1.06298
180.00000	1.06153
180.00000	1.06137
180.00000	1.05831
180.01667	1.06315
180.01667	1.06830
180.01667	1.06943
180.00000	1.05992
180.00000	1.06250
180.00000	1.06653
180.00000	1.06572
180.00000	1.06685
180.01667	1.06637
180.01667	1.06041
180.01667	1.06443
180.01667	1.06782
180.01667	1.06556
180.01667	1.06605
180.01667	1.06427
180.01667	1.06492
180.01667	1.07217
180.01667	1.07668
180.01667	1.07716
180.01667	1.08264
180.01667	1.08248
180.01667	1.08200
180.01667	1.08167
180.01667	1.08312
180.01667	1.08151
180.01667	1.08103
180.01667	1.08570
180.01667	1.08264
180.01667	1.08087
180.01667	1.07603
180.01667	1.07845
180.01667	1.07104
180.01667	1.07491
180.01667	1.06411
180.01667	1.04639
180.01667	1.03366
180.01667	1.02480
180.01667	1.01062
180.01667	1.01239
180.01667	1.01513
