# Polarization of Light 'theta' Data File Tue, Jan 23, 2018 9:43 AM
# Sensor Position (Radians)	Light Intensity (Volts)
0.00000	3.89504
0.00000	3.89375
0.00000	3.89214
0.00000	3.89230
0.00000	3.89085
0.00000	3.89649
0.00000	3.89036
0.00000	3.88940
0.00000	3.88908
0.00000	3.89391
0.00000	3.89246
0.00000	3.89375
0.00000	3.89439
0.00000	3.88811
0.00000	3.88988
0.00000	3.89536
0.00000	3.89036
0.00000	3.89181
0.00000	3.88714
0.00000	3.88698
0.00000	3.88875
0.00000	3.89343
0.00000	3.89391
0.00000	3.89584
0.00000	3.89681
0.00000	3.89455
0.00000	3.89117
0.00000	3.88827
0.00000	3.89536
0.00000	3.89020
0.00000	3.88746
0.00000	3.88650
0.00000	3.89423
0.00000	3.89423
0.00000	3.89085
0.00000	3.88859
0.00000	3.89391
0.00000	3.89085
0.00000	3.89665
0.00000	3.89181
0.00000	3.89391
0.00000	3.88891
0.00000	3.89681
0.00000	3.89036
0.00000	3.88988
0.00000	3.88827
0.00000	3.89294
0.00000	3.89439
0.00000	3.89536
0.00000	3.89407
0.00000	3.89181
0.00000	3.89536
0.00000	3.89584
0.00000	3.89455
0.00000	3.89262
0.00000	3.89149
0.00000	3.89294
0.00000	3.89439
0.00000	3.89343
0.00000	3.89584
0.00000	3.89214
0.00000	3.89101
0.00000	3.89117
0.00000	3.88908
0.00000	3.89053
0.00000	3.89230
0.00000	3.89407
0.00000	3.89343
0.00000	3.89455
0.00000	3.89214
0.00000	3.88891
0.00000	3.88746
0.00000	3.88795
0.00000	3.88956
0.00000	3.89085
0.00000	3.89133
0.00000	3.88859
0.00000	3.89149
0.00000	3.89004
0.00000	3.88666
0.00000	3.89278
0.00000	3.89262
0.00000	3.89294
0.00000	3.89343
0.00000	3.89053
0.00000	3.89359
0.00000	3.89455
0.00000	3.88891
0.00000	3.89504
0.00000	3.89133
0.00000	3.89053
0.00000	3.89004
0.00000	3.89326
0.00000	3.89133
0.00000	3.89471
0.00000	3.89020
0.00000	3.89246
0.00000	3.89536
0.00000	3.89471
0.00000	3.89584
0.00000	3.89214
0.00000	3.89149
0.00000	3.88972
0.00000	3.88714
0.00000	3.89407
0.00000	3.89004
0.00000	3.88972
0.00000	3.89085
0.00000	3.89004
0.00000	3.89504
0.00000	3.89310
0.00000	3.89536
0.00000	3.88763
0.00000	3.89214
0.00000	3.88972
0.00000	3.89488
0.00000	3.89584
0.00000	3.89375
0.00000	3.89391
0.00000	3.89423
0.00000	3.89181
0.00000	3.89101
0.00000	3.89149
0.00000	3.89214
0.00000	3.89423
0.00000	3.89359
0.00000	3.89230
0.00000	3.89036
0.00000	3.89053
0.00000	3.89133
0.00000	3.88408
0.00000	3.89133
0.00000	3.88988
0.00000	3.89053
0.00000	3.89278
0.00000	3.89439
0.00000	3.88940
0.00000	3.89165
0.00000	3.89310
0.00000	3.89085
0.00000	3.89036
0.00000	3.89133
0.00000	3.89294
0.00000	3.89198
0.00000	3.88746
0.00000	3.88875
0.00000	3.88924
0.00000	3.88908
0.00000	3.89262
0.00000	3.88489
0.00000	3.88956
0.00000	3.88763
0.00000	3.89020
0.00000	3.88585
0.00000	3.88682
0.00000	3.88714
0.00000	3.88183
0.00000	3.88279
0.00000	3.87989
0.00000	3.88134
0.00000	3.87957
0.01745	3.87619
0.02182	3.87151
0.02182	3.87006
0.02182	3.86958
0.02182	3.87538
0.02182	3.87313
