Polarization of Light 'Brewsters' Data File Tue, Jan 23, 2018 10:59 AM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.96342
180.00000	0.96857
180.00000	0.97083
180.00000	0.96986
180.00000	0.97018
180.00000	0.96632
180.00000	0.97018
180.00000	0.96841
180.00000	0.95826
180.00000	0.96744
180.00000	0.96728
180.00000	0.96245
180.00000	0.96116
180.00000	0.96873
180.00000	0.96728
180.00000	0.96052
180.00000	0.96454
180.00000	0.96938
180.00000	0.96503
180.00000	0.96744
180.00000	0.97051
180.00000	0.96583
180.00000	0.96664
180.00000	0.96906
180.00000	0.96551
180.00000	0.97002
180.00000	0.97051
180.00000	0.97083
180.00000	0.96583
180.00000	0.96245
180.00000	0.97018
180.00000	0.96825
180.00000	0.96761
180.00000	0.96342
180.00000	0.96712
180.00000	0.96712
180.00000	0.96261
180.00000	0.96889
180.00000	0.96632
180.00000	0.96326
180.00000	0.96229
180.00000	0.95826
180.00000	0.96358
180.00000	0.96036
180.00000	0.96567
180.00000	0.96261
180.00000	0.96632
180.00000	0.96374
180.00000	0.96390
180.00000	0.96616
180.00000	0.96342
180.00000	0.96164
180.00000	0.96100
180.00000	0.96519
180.00000	0.96535
180.00000	0.96616
180.00000	0.96342
180.00000	0.96599
180.00000	0.96648
180.00000	0.96777
180.00000	0.96309
180.00000	0.95891
180.00000	0.96519
180.00000	0.96761
180.00000	0.96809
180.00000	0.96374
180.00000	0.96197
180.00000	0.96777
180.00000	0.96809
180.00000	0.96374
180.00000	0.96471
180.00000	0.96841
180.00000	0.96229
180.00000	0.96503
180.00000	0.96583
180.00000	0.96970
180.00000	0.97067
180.00000	0.97002
180.00000	0.97131
180.00000	0.96906
180.00000	0.97179
180.00000	0.96680
180.00000	0.96680
180.00000	0.96954
180.00000	0.96712
180.00000	0.97067
180.00000	0.96889
180.00000	0.96970
180.00000	0.96648
180.00000	0.97163
180.00000	0.96954
180.00000	0.96712
180.00000	0.97276
180.00000	0.97212
180.00000	0.96825
180.00000	0.96857
180.00000	0.96761
180.00000	0.97341
180.00000	0.97276
180.00000	0.97034
180.00000	0.96954
180.00000	0.96712
180.00000	0.96841
180.00000	0.96471
180.00000	0.97212
180.00000	0.97840
180.00000	0.96809
180.00000	0.95874
180.00000	0.96342
