# VDC	IDC	T1	T2
2.682	9.774	22.2	20.6
2.726	9.725	24.7	16.7
2.709	9.471	25.7	15.0
2.692	9.490	26.4	13.4
2.658	9.291	27.1	11.3
2.630	9.210	27.3	10.4
2.629	9.168	27.6	9.1
2.655	9.224	27.8	8.0
2.596	9.005	28.0	6.8
2.753	9.570	28.1	5.9
2.783	9.652	28.2	4.8
2.780	9.628	28.4	4.0
2.791	9.654	28.4	3.1
2.795	9.665	28.5	2.3
2.802	9.684	28.5	1.5
2.808	9.697	28.6	0.7
2.804	9.678	28.6	0.1
2.805	9.677	28.6	-0.4
2.816	9.711	28.6	-1.1
2.818	9.711	28.6	-1.7
2.813	9.690	28.6	-2.7
2.826	9.737	28.6	-3.3
2.813	9.684	28.6	-3.7
2.809	9.673	28.6	-4.2
2.744	9.415	28.5	-4.7
2.732	9.346	28.3	-5.2
2.702	9.281	28.2	-5.5
2.708	9.296	28.2	-5.7
2.715	9.337	28.1	-5.9
2.636	9.216	28.1	-6.2
2.673	9.210	28.1	-6.3
2.682	9.205	28.0	-6.5
2.715	9.342	28.0	-6.7
2.800	9.723	27.9	-6.9
2.665	9.213	27.9	-7.1
2.650	9.159	27.9	-7.2
2.638	9.148	27.9	-7.4
2.853	9.980	27.8	-7.4
2.868	10.057	27.9	-7.6
2.867	10.053	28.1	-7.9
2.871	10.078	28.1	-8.1
2.849	9.995	28.2	-8.2
2.871	10.134	28.3	-8.3
2.879	10.144	28.3	-8.5
2.873	10.159	28.3	-8.6
2.883	10.217	28.3	-8.7
2.879	10.215	28.3	-8.7
2.848	10.090	28.3	-8.6
2.724	9.698	28.3	-8.8
2.755	9.794	28.3	-8.9
2.716	9.661	28.2	-8.9
2.837	10.173	28.1	-8.9
2.839	10.197	28.1	-8.9
2.847	10.250	28.1	-9.0
2.849	10.272	28.1	-9.0
2.853	10.311	28.2	-9.1
